VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
Drone1	1670628447050	2.13623e-06	2.58908e-06	2.87095	0.904083	0	0	0.427356	
Drone4	1670628447050	9.76562e-06	9.76562e-06	17.8085	0.904083	0	0	0.427356	
Drone3	1670628447101	9.76562e-06	9.76562e-06	21.8392	0.904083	0	0	0.427356	
Drone2	1670628447101	4.88281e-06	9.76562e-06	12.3704	0.904083	0	0	0.427356	
Drone1	1670628447101	2.13623e-06	2.58908e-06	2.84598	0.904083	0	0	0.427356	
Drone4	1670628447101	9.76562e-06	9.76562e-06	17.7835	0.904083	0	0	0.427356	
Drone3	1670628447152	9.76562e-06	9.76562e-06	21.8142	0.904083	0	0	0.427356	
Drone2	1670628447152	4.88281e-06	9.76562e-06	12.3454	0.904083	0	0	0.427356	
Drone1	1670628447152	2.13623e-06	2.58908e-06	2.82099	0.904083	0	0	0.427356	
Drone4	1670628447152	9.76562e-06	9.76562e-06	17.7585	0.904083	0	0	0.427356	
Drone3	1670628447203	9.76562e-06	9.76562e-06	21.7891	0.904083	0	0	0.427356	
Drone2	1670628447203	4.88281e-06	9.76562e-06	12.3204	0.904083	0	0	0.427356	
Drone1	1670628447203	2.13623e-06	2.58908e-06	2.79598	0.904083	0	0	0.427356	
Drone4	1670628447203	9.76562e-06	9.76562e-06	17.7335	0.904083	0	0	0.427356	
Drone3	1670628447254	9.76562e-06	9.76562e-06	21.7641	0.904083	0	0	0.427356	
Drone2	1670628447254	4.88281e-06	9.76562e-06	12.2954	0.904083	0	0	0.427356	
Drone1	1670628447254	2.13623e-06	2.58908e-06	2.77096	0.904083	0	0	0.427356	
Drone4	1670628447254	9.76562e-06	9.76562e-06	17.7085	0.904083	0	0	0.427356	
Drone3	1670628447305	9.76562e-06	9.76562e-06	21.739	0.904083	0	0	0.427356	
Drone2	1670628447305	4.88281e-06	9.76562e-06	12.2703	0.904083	0	0	0.427356	
Drone1	1670628447305	2.13623e-06	2.58908e-06	2.74591	0.904083	0	0	0.427356	
Drone4	1670628447305	9.76562e-06	9.76562e-06	17.6834	0.904083	0	0	0.427356	
Drone3	1670628447356	9.76562e-06	9.76562e-06	21.714	0.904083	0	0	0.427356	
Drone2	1670628447356	4.88281e-06	9.76562e-06	12.2453	0.904083	0	0	0.427356	
Drone1	1670628447356	2.13623e-06	2.58908e-06	2.72085	0.904083	0	0	0.427356	
Drone4	1670628447356	9.76562e-06	9.76562e-06	17.6584	0.904083	0	0	0.427356	
Drone3	1670628447407	9.76562e-06	9.76562e-06	21.6889	0.904083	0	0	0.427356	
Drone2	1670628447407	4.88281e-06	9.76562e-06	12.2202	0.904083	0	0	0.427356	
Drone1	1670628447407	2.13623e-06	2.58908e-06	2.69577	0.904083	0	0	0.427356	
Drone4	1670628447407	9.76562e-06	9.76562e-06	17.6333	0.904083	0	0	0.427356	
Drone3	1670628447458	9.76562e-06	9.76562e-06	21.6638	0.904083	0	0	0.427356	
Drone2	1670628447458	4.88281e-06	9.76562e-06	12.1951	0.904083	0	0	0.427356	
Drone1	1670628447458	2.13623e-06	2.58908e-06	2.67068	0.904083	0	0	0.427356	
Drone4	1670628447458	9.76562e-06	9.76562e-06	17.6082	0.904083	0	0	0.427356	
Drone3	1670628447509	9.76562e-06	9.76562e-06	21.6387	0.904083	0	0	0.427356	
Drone2	1670628447509	4.88281e-06	9.76562e-06	12.17	0.904083	0	0	0.427356	
Drone1	1670628447509	2.13623e-06	2.58908e-06	2.64558	0.904083	0	0	0.427356	
Drone4	1670628447509	9.76562e-06	9.76562e-06	17.5831	0.904083	0	0	0.427356	
Drone3	1670628447560	9.76562e-06	9.76562e-06	21.6136	0.904083	0	0	0.427356	
Drone2	1670628447560	4.88281e-06	9.76562e-06	12.1449	0.904083	0	0	0.427356	
Drone1	1670628447560	2.13623e-06	2.58908e-06	2.62046	0.904083	0	0	0.427356	
Drone4	1670628447560	9.76562e-06	9.76562e-06	17.5579	0.904083	0	0	0.427356	
Drone3	1670628447611	9.76562e-06	9.76562e-06	21.5884	0.904083	0	0	0.427356	
Drone2	1670628447611	4.88281e-06	9.76562e-06	12.1197	0.904083	0	0	0.427356	
Drone1	1670628447611	2.13623e-06	2.58908e-06	2.59533	0.904083	0	0	0.427356	
Drone4	1670628447611	9.76562e-06	9.76562e-06	17.5328	0.904083	0	0	0.427356	
Drone3	1670628447662	9.76562e-06	9.76562e-06	21.5633	0.904083	0	0	0.427356	
Drone2	1670628447662	4.88281e-06	9.76562e-06	12.0946	0.904083	0	0	0.427356	
Drone1	1670628447662	2.13623e-06	2.58908e-06	2.57019	0.904083	0	0	0.427356	
Drone4	1670628447662	9.76562e-06	9.76562e-06	17.5077	0.904083	0	0	0.427356	
Drone3	1670628447713	9.76562e-06	9.76562e-06	21.5381	0.904083	0	0	0.427356	
Drone2	1670628447713	4.88281e-06	9.76562e-06	12.0694	0.904083	0	0	0.427356	
Drone1	1670628447713	2.13623e-06	2.58908e-06	2.54504	0.904083	0	0	0.427356	
Drone4	1670628447713	9.76562e-06	9.76562e-06	17.4825	0.904083	0	0	0.427356	
Drone3	1670628447764	9.76562e-06	9.76562e-06	21.513	0.904083	0	0	0.427356	
Drone2	1670628447764	4.88281e-06	9.76562e-06	12.0443	0.904083	0	0	0.427356	
Drone1	1670628447764	2.13623e-06	2.58908e-06	2.51988	0.904083	0	0	0.427356	
Drone4	1670628447764	9.76562e-06	9.76562e-06	17.4574	0.904083	0	0	0.427356	
Drone3	1670628447815	9.76562e-06	9.76562e-06	21.4878	0.904083	0	0	0.427356	
Drone2	1670628447815	4.88281e-06	9.76562e-06	12.0191	0.904083	0	0	0.427356	
Drone1	1670628447815	2.13623e-06	2.58908e-06	2.49471	0.904083	0	0	0.427356	
Drone4	1670628447815	9.76562e-06	9.76562e-06	17.4322	0.904083	0	0	0.427356	
Drone3	1670628447866	9.76562e-06	9.76562e-06	21.4626	0.904083	0	0	0.427356	
Drone2	1670628447866	4.88281e-06	9.76562e-06	11.9939	0.904083	0	0	0.427356	
Drone1	1670628447866	2.13623e-06	2.58908e-06	2.46953	0.904083	0	0	0.427356	
Drone4	1670628447866	9.76562e-06	9.76562e-06	17.407	0.904083	0	0	0.427356	
Drone3	1670628447917	9.76562e-06	9.76562e-06	21.4374	0.904083	0	0	0.427356	
Drone2	1670628447917	4.88281e-06	9.76562e-06	11.9687	0.904083	0	0	0.427356	
Drone1	1670628447917	2.13623e-06	2.58908e-06	2.44434	0.904083	0	0	0.427356	
Drone4	1670628447917	9.76562e-06	9.76562e-06	17.3818	0.904083	0	0	0.427356	
Drone3	1670628447968	9.76562e-06	9.76562e-06	21.4122	0.904083	0	0	0.427356	
Drone2	1670628447968	4.88281e-06	9.76562e-06	11.9435	0.904083	0	0	0.427356	
Drone1	1670628447968	2.13623e-06	2.58908e-06	2.41914	0.904083	0	0	0.427356	
Drone4	1670628447968	9.76562e-06	9.76562e-06	17.3566	0.904083	0	0	0.427356	
Drone3	1670628448019	9.76562e-06	9.76562e-06	21.387	0.904083	0	0	0.427356	
Drone2	1670628448019	4.88281e-06	9.76562e-06	11.9183	0.904083	0	0	0.427356	
Drone1	1670628448019	2.13623e-06	2.58908e-06	2.39393	0.904083	0	0	0.427356	
Drone4	1670628448019	9.76562e-06	9.76562e-06	17.3314	0.904083	0	0	0.427356	
Drone3	1670628448070	9.76562e-06	9.76562e-06	21.3618	0.904083	0	0	0.427356	
Drone2	1670628448070	4.88281e-06	9.76562e-06	11.8931	0.904083	0	0	0.427356	
Drone1	1670628448070	2.13623e-06	2.58908e-06	2.36872	0.904083	0	0	0.427356	
Drone4	1670628448070	9.76562e-06	9.76562e-06	17.3062	0.904083	0	0	0.427356	
Drone3	1670628448121	9.76562e-06	9.76562e-06	21.3366	0.904083	0	0	0.427356	
Drone2	1670628448121	4.88281e-06	9.76562e-06	11.8679	0.904083	0	0	0.427356	
Drone1	1670628448121	2.13623e-06	2.58908e-06	2.3435	0.904083	0	0	0.427356	
Drone4	1670628448121	9.76562e-06	9.76562e-06	17.2809	0.904083	0	0	0.427356	
Drone3	1670628448172	9.76562e-06	9.76562e-06	21.3113	0.904083	0	0	0.427356	
Drone2	1670628448172	4.88281e-06	9.76562e-06	11.8426	0.904083	0	0	0.427356	
Drone1	1670628448172	2.13623e-06	2.58908e-06	2.31827	0.904083	0	0	0.427356	
Drone4	1670628448172	9.76562e-06	9.76562e-06	17.2557	0.904083	0	0	0.427356	
Drone3	1670628448223	9.76562e-06	9.76562e-06	21.2861	0.904083	0	0	0.427356	
Drone2	1670628448223	4.88281e-06	9.76562e-06	11.8174	0.904083	0	0	0.427356	
Drone1	1670628448223	2.13623e-06	2.58908e-06	2.29304	0.904083	0	0	0.427356	
Drone4	1670628448223	9.76562e-06	9.76562e-06	17.2305	0.904083	0	0	0.427356	
Drone3	1670628448274	9.76562e-06	9.76562e-06	21.2621	0.904083	0	0	0.427356	
Drone2	1670628448274	4.88281e-06	9.76562e-06	11.7934	0.904083	0	0	0.427356	
